,Molecular weight,Isoelectric point,Dipole,Formal charge,Average charge,Area,ALASurfFrac,ARGSurfFrac,ASNSurfFrac,ASPSurfFrac,CYSSurfFrac,GLNSurfFrac,GLUSurfFrac,GLYSurfFrac,HISSurfFrac,ILESurfFrac,LEUSurfFrac,LYSSurfFrac,METSurfFrac,PHESurfFrac,PROSurfFrac,SERSurfFrac,THRSurfFrac,TRPSurfFrac,TYRSurfFrac,VALSurfFrac,NSurfPoints,Shape max,Shape min,SurfEpMaxFormal,SurfEpMinFormal,SurfEpMeanFormal,SurfEpTrimeanFormal,SurfEpMedianFormal,SurfEpSumFormal,SurfEpStdFormal,NSurfPosEpFormal,SurfEpPosMeanFormal,SurfEpPosTrimeanFormal,SurfEpPosMedianFormal,SurfEpPosSumFormal,SurfEpPosStdFormal,NSurfNegEpFormal,SurfEpNegMeanFormal,SurfEpNegTrimeanFormal,SurfEpNegMedianFormal,SurfEpNegSumFormal,SurfEpNegStdFormal,SurfMhpMax,SurfMhpMin,SurfMhpMean,SurfMhpTrimean,SurfMhpMedian,SurfMhpSum,SurfMhpStd,NSurfPosMhp,SurfPosMhpMean,SurfPosMhpTrimean,SurfPosMhpMedian,SurfPosMhpSum,SurfPosMhpStd,NSurfNegMhp,SurfNegMhpMean,SurfNegMhpTrimean,SurfNegMhpMedian,SurfNegMhpSum,SurfNegMhpStd,SurfEpMaxAverage,SurfEpMinAverage,SurfEpMeanAverage,SurfEpTrimeanAverage,SurfEpMedianAverage,SurfEpSumAverage,SurfEpStdAverage,NSurfPosEpAverage,SurfEpPosMeanAverage,SurfEpPosTrimeanAverage,SurfEpPosMedianAverage,SurfEpPosSumAverage,SurfEpPosStdAverage,NSurfNegEpAverage,SurfEpNegMeanAverage,SurfEpNegTrimeanAverage,SurfEpNegMedianAverage,SurfEpNegSumAverage,SurfEpNegStdAverage,ShellEpMaxFormal,ShellEpminFormal,ShellEpMeanFormal,ShellEpTrimeanFormal,ShellEpMedianFormal,ShellEpSumFormal,ShellEpStdFormal,NShellPosEpFormal,ShellEpPosMeanFormal,ShellEpPosTrimeanFormal,ShellEpPosMedianFormal,ShellEpPosSumFormal,ShellEpPosStdFormal,NShellNegEpFormal,ShellEpNegMeanFormal,ShellEpNegTrimeanFormal,ShellEpNegMedianFormal,ShellEpNegSumFormal,ShellEpNegStdFormal
Molecular weight,1.0,0.0009991174626720026,0.26355501006610216,0.33983782091699005,0.30994688955879096,0.841143476923816,7.426435455648587e-05,0.013084750238187256,5.082393817592924e-05,0.0047292878284388735,0.017689570278261516,0.009790169241120103,0.0019398382075605275,9.471802428539422e-08,0.00512428773352879,0.018110658291045023,0.006732919200678842,0.0009157913245149712,0.11296965024174976,0.0038731216948458417,0.002931299471464807,3.4094773004716385e-06,0.0005708751007275774,0.0009321586311831834,0.0007121694328036186,0.012554246330679038,0.8318920337552945,0.008888279025371667,0.1258709620509991,0.025732473258512294,0.18643397554392874,0.13963857267770677,0.14349402419478932,0.14459790194959857,0.5253676933815324,0.05155952386797564,0.003824045725824539,0.018550033025015386,0.01882442168640516,0.017717059791618854,0.001538683742656908,0.016709348737647997,0.7764190550832166,0.166909830027051,0.16736853661557477,0.16906357738277272,0.5700038181228828,0.10860981242882681,0.10059975902956404,0.11455147715933874,0.1420380937188427,0.13706397024330544,0.15290149688553986,0.8660528371023865,0.008422419766080415,0.4476392430605992,0.011923064831363142,0.022414403897347415,0.025689007099336712,0.3262433372890814,0.00448566343635427,0.857905881509459,0.18669538386210532,0.18618401953777977,0.1876301753398975,0.8767936734350346,0.09835480332251394,0.018542525343265056,0.17170503559296613,0.12243276838276639,0.1262124380132799,0.1272060053877628,0.49314342570521874,0.04838236567451366,0.0067541198448659865,0.014928411591735982,0.014003802769608723,0.014229504537194517,0.003106155858963103,0.013401929956574153,0.7625889067123104,0.1482473241131342,0.149542500037784,0.15035355659962138,0.5457694473483701,0.09959200347930827,0.019690763326149666,0.17501649794179358,0.11227008237338211,0.11142289360630091,0.11164799373453393,0.11223009963407629,0.08746599788823173,0.036694776502628784,0.0069928118443520326,0.004890044229619803,0.006156330625091732,0.013652060662306661,0.011499589745300062,0.03669477650262865,0.14198713523034073,0.13312603481004023,0.12970757825200413,0.13135548675495645,0.14419353907894294
Isoelectric point,0.0009991174626720026,1.0,0.001996626781017326,0.38796203266045554,0.41114398705932415,2.8329487053044105e-05,0.00465846992442904,0.10402435508034664,9.452990502903941e-05,0.15634466338137706,0.001913988502901925,0.0003230784268044644,0.16490604181974808,0.0007267159014119004,0.009728052580624475,0.003980411304119315,0.0019423215804814243,0.04252682027663809,1.0300641225285173e-05,0.004097054316832788,0.0006965467729109715,0.002657376539361794,0.00032477503219304475,0.005462985204385245,0.0025794193448662505,0.002201976582216926,2.596332650026276e-05,0.012627690372340806,0.0005570690882238397,0.5673552778399192,0.36772493279525365,0.5738440678704757,0.5683152741295233,0.5626033288114235,0.16544516458486036,0.0016667538649146778,0.5640498222516821,0.6405350400009217,0.6232175286876792,0.6166040625453563,0.5433884277166745,0.5601291530370973,0.08154929151593111,0.3556291544557315,0.35299137675900855,0.3534833618838202,0.10194229053791044,0.33893391849981186,0.0007577464332632451,8.484031541049798e-05,0.01679798263971049,0.018984867660625807,0.02082080677718339,0.0017521570933681527,0.005854797585734851,0.003400527143066125,0.013136793847567328,0.014193160191717038,0.014444775504119912,0.009393143157258877,0.002839545456691932,0.0003383511729480445,0.008123202540759917,0.009992748848659746,0.011636336155446472,0.0005872480100975711,0.003863442315258073,0.5826930521472606,0.38474752809180324,0.5973167110190026,0.5918592555159401,0.5859847394698433,0.1799633856802039,0.002049840491417086,0.5606640617710865,0.6573327400540082,0.6430100379913961,0.6332223066400299,0.5448109897458397,0.5671921520092712,0.09025169815769112,0.3656826043274801,0.36438673614257866,0.36314294307328465,0.10734236293918621,0.3558368315235802,0.4853332488451359,0.38129773245901427,0.5354494244919371,0.5244854154271679,0.5166568242184543,0.5354337188419429,0.007550555165548042,0.6332832659606149,0.5175078857117397,0.5070002397799754,0.49150747623800894,0.6984618402957589,0.4457165419445148,0.6332832659606146,0.3515701196298112,0.3431955550676939,0.33927806488623086,0.3779748021358831,0.3537856205703829
Dipole,0.26355501006610216,0.001996626781017326,1.0,0.10614428945520271,0.09972797593979618,0.4263036779315823,0.0024179177227997674,0.016003750716240706,0.004680748785518924,6.069647247594918e-05,0.013839825260782753,0.004763166306962915,0.004524241311802323,0.01936184083994746,0.015362637962984364,0.00033404121713889403,0.00040945399190101765,0.002217821298178498,0.00840986066586446,0.0008399666761888518,0.005249669949481381,3.382449128894524e-05,0.006473961227475031,0.0005428191557587926,0.0023241480297293217,0.0005984823851933617,0.42904721150067027,0.10318252967395931,0.06359880073446637,0.033860686761468896,0.1051452783357481,0.021450481378095916,0.023618039070387977,0.024752687427969343,0.21852662932665629,0.44090609426091826,0.05780518582186257,0.046232837230027565,0.044653948817197565,0.04502516407313611,0.05287459546676215,0.052967505029347633,0.313130777517083,0.0631435680210948,0.06098444972573844,0.060182349935761555,0.26528979709005635,0.23438875971037457,0.07324478284584493,0.031635625821655335,0.00826907118178753,0.009639130098684138,0.01595895550775685,0.37972280048505747,0.005400844575321028,0.32710980031180614,0.004246708514715631,0.0020840342195564653,0.001757945347334034,0.2661411997822386,0.0068522446735532865,0.41692498948353035,0.048436622954050275,0.04773614476946217,0.045314782199885044,0.40973880766317083,0.013134888741010901,0.0361248508475945,0.1063407627930078,0.01978598352174927,0.021731626373546024,0.02272198026768088,0.2094300229341393,0.43952645371813404,0.060828449031962335,0.048238141981454506,0.047391475148888335,0.04754227025321999,0.05599248711447207,0.054888064097190284,0.3059846699838587,0.06374917174517164,0.061169878801053956,0.06027823560070487,0.26237898508449414,0.22514765228927427,0.044447037969322395,0.10486935116762834,0.00567998115193563,0.005240651078291381,0.005471569979537581,0.005674980191784771,0.381668557229154,0.01215184473757438,0.06861425661450996,0.07000506947307882,0.06427190769620202,0.02698013473238409,0.05769303307013357,0.012151844737574425,0.0531606330246029,0.04656671801722159,0.044497181913750905,0.019470961040385423,0.16132243363720553
Formal charge,0.33983782091699005,0.38796203266045554,0.10614428945520271,1.0,0.9976039727559524,0.2996278228423252,9.088748494153307e-06,0.019825630653676277,0.0010097567185755663,0.13376529427913664,0.0018216692066468593,0.005099221490788777,0.17484367149457183,0.0011390116984474534,0.00016106532585612464,0.023729292127596793,0.011805112844974468,0.04007664513588392,0.03884502913643473,0.008058128604063021,7.248773192572197e-07,0.0025297186014334064,0.00019154307178011383,4.421513617968549e-05,0.0006753827740312185,0.008651859457281615,0.2973024596054283,3.0814455335238297e-07,0.03240765018879978,0.5652083542211734,0.7307931597793554,0.8737042642767403,0.8729058800373904,0.8702006059170629,0.8513315299298051,0.04697015175933033,0.29599347262029546,0.39468536314232766,0.3625580273073953,0.3494805237498633,0.221620822006871,0.4449932135609561,0.5540543404896555,0.8557073206924093,0.8545654189379209,0.8515867267786871,0.7911603391275649,0.48771968377001046,0.02481647507367162,0.04067594042949252,0.10062713482380828,0.10207566365458647,0.1081446562342959,0.3401974112429501,0.02266358268577793,0.12096876176202387,0.02915795633811944,0.04010470695342334,0.04240757976403178,0.0632968899618088,0.0003621616672950401,0.3190306268412964,0.0796825456587096,0.0861660874125305,0.08951392644089282,0.32644174391408637,0.029239680017843207,0.5510021348510573,0.7275548769826866,0.8630962848577419,0.8624065395279954,0.8597901172110639,0.859635482918134,0.04292026723443462,0.2956577450150478,0.39341510874840635,0.36107283069359136,0.347570719089769,0.22370580296536227,0.4413689784103165,0.5723112276904653,0.8414149941776351,0.8406286167293191,0.8377329453177219,0.7945165582624435,0.49391130220738877,0.4810477451825431,0.7580084117349006,0.7974303746387063,0.7853672139934427,0.7743002135533191,0.7973920820476635,0.11318574238331106,0.4638629038330366,0.35200325145222283,0.33866044482331414,0.3188533692339073,0.3213138677587804,0.38130303551567857,0.4638629038330364,0.7699064233403685,0.7498520772521273,0.7339799813837419,0.7890160994248663,0.5882143772421867
Average charge,0.30994688955879096,0.41114398705932415,0.09972797593979618,0.9976039727559524,1.0,0.27735642618352346,4.7713284713547506e-05,0.022625321981493317,0.0010243739735251252,0.13683972168997474,0.0014900510977768062,0.004818209452437024,0.18319883875732987,0.0011452376376705606,0.0001118923866487008,0.021977798926654874,0.010884353723006569,0.040325213366263116,0.03433174768030576,0.007623672316761235,3.3474791730099373e-05,0.002574731070113855,0.00014256665417220125,0.00010850796767938455,0.0005352948439545324,0.006993595527195797,0.2753773588320107,1.1817131302111459e-06,0.029425207809807064,0.5769103565019881,0.7314093679504831,0.8816994607803893,0.8805350679314324,0.877619763893248,0.8393255241427104,0.0459983725679411,0.30902048008240934,0.4026468166983601,0.36970473759090866,0.3565424757014251,0.23193222666567656,0.453971291327619,0.5306524799301905,0.8611205412180861,0.8597547784889293,0.8565061635927844,0.7765677081275753,0.49149300234690596,0.02275384959190435,0.03810132569591773,0.09391323753901576,0.09594645485565179,0.10224260137187033,0.3149884317377956,0.02056229443249047,0.11280557753124387,0.027544723949887544,0.03786895938062067,0.04006887404365921,0.058435458834842434,0.0003768077093400305,0.29524143409561876,0.07574450003732311,0.08241413813425821,0.0857522476820987,0.30219536665984364,0.026798665311358598,0.5658223754265833,0.7319884657201211,0.8757587698107487,0.8747041055867982,0.8718730425287845,0.8512176746355917,0.042169447882534135,0.3108233518586788,0.40342549502670666,0.3702311364646788,0.356415976690001,0.23542263659189822,0.4526895612435837,0.5499757543201514,0.8514497339073983,0.8504092887124745,0.8473059609695649,0.7827733739011353,0.5002153834755088,0.4908602240684325,0.759378116939768,0.8042349041433323,0.7918886263141034,0.7805275125144396,0.8041971420783104,0.11160060357877835,0.46928417150365215,0.36010583458310214,0.3466204039219089,0.325887139930452,0.32746172362200654,0.38973607853424647,0.46928417150365215,0.774491443557351,0.7544224677765544,0.7382748249080755,0.7941292968486657,0.5904775841168625
Area,0.841143476923816,2.8329487053044105e-05,0.4263036779315823,0.2996278228423252,0.27735642618352346,1.0,5.22737902761121e-06,0.014685236214059646,0.001275005408769326,0.00019685225466424964,0.019469790416007857,0.019949222492852907,0.0009740332215136952,0.004374179761076395,0.016318972365943398,0.0049828136772805285,9.638306378821636e-05,2.5128989625570673e-05,0.06935587063584522,0.0011027605929844083,0.0007672319923326733,0.0006049847249382142,0.0008601753197305407,0.0004216545739391142,4.055293256042983e-06,0.0002698595461054865,0.9997593283229784,0.05921098971735065,0.1486774734423652,0.003478676924754962,0.15514106029437794,0.09412643878011191,0.09699662344313706,0.09767571103930162,0.5625546749882834,0.09833911172655795,0.026536436394480778,0.00234732291491279,0.002831255518085648,0.002633965023438063,0.013620045880715822,0.0012700098845029844,0.8655341403260143,0.12872516788575164,0.1277031566441018,0.1279493411241517,0.6268136917121776,0.12454266789312969,0.12567314838926474,0.10922940328997088,0.058410295278520895,0.0582572276401652,0.07067909127623002,0.9188824469723498,0.00022371693908931764,0.6975940562082966,0.0014368351872122613,0.004987605078575071,0.0060318493164079265,0.5317964242606873,0.0049428853531403635,0.9874670420463195,0.10953327832844673,0.11034869686634911,0.11017871065512319,0.9703475443496261,0.05004439080392864,0.0017101638851105354,0.14781720655266867,0.08408153640092796,0.08682202208638984,0.08739724597645575,0.5350897934293429,0.0948986227168644,0.03189810346545923,0.0014542361518139503,0.001425583000514905,0.0015925341238919558,0.017125724957417834,0.0007396364599178652,0.8506171638778878,0.11832553200116122,0.11773832844243466,0.11754269850472052,0.6095453792746464,0.11660063827219476,0.0016031004104860498,0.13534276993932187,0.05788289672320802,0.056438300333106435,0.05615370794760301,0.05786116158922487,0.11616167062005497,0.007287433067511499,7.52626276216308e-09,0.00026247368269667604,4.45693431228681e-06,0.001231282007233074,0.00022027221984822194,0.007287433067511509,0.09178958831126886,0.08401669672278884,0.08112980444483457,0.07568037886144005,0.12764386097021269
ALASurfFrac,7.426435455648587e-05,0.00465846992442904,0.0024179177227997674,9.088748494153307e-06,4.7713284713547506e-05,5.22737902761121e-06,1.0,0.04149572983878226,0.005436062947484697,0.013242744304051325,0.005477644465062877,0.00015862462467251947,0.005458373416561527,0.0007096735726228906,0.026014611602323726,0.0052456966706123775,0.001135755966261544,4.937149028725675e-08,0.0009559982039978492,0.004901112860313072,0.00024158569435070234,0.00017120858124712097,0.0069476050016113655,0.0026169879260560997,0.03454457859212094,0.00011891175475064317,1.3564772275539372e-05,0.0002839513066673541,0.0009797845328522073,0.0034162158069713424,0.0018751175357903695,1.7108121043043873e-06,6.6594080536391935e-06,3.2538869619735894e-05,4.393515982073236e-05,0.024830581800241554,0.0033537001460894984,0.005668648418009762,0.0052073023247138335,0.005740680293209923,0.001782292690471982,0.0055256215412909275,0.0006408363658789636,0.0010656144020238644,0.001185377242304108,0.0014092791805394482,1.1016195611088766e-06,0.0066438262937913144,0.00735813086379318,1.988834671645157e-05,0.0020207539717863447,0.007518659260678749,0.013459961921933007,3.481604223606148e-05,0.028382979615571482,0.00043149034055805607,0.012980429771289562,0.01163041842435171,0.010447556012298482,0.0014515872574927717,0.012220375438391268,7.640887461403746e-05,0.0638068944238424,0.0649046124925926,0.06426154216870036,0.00012025597494677629,0.00506912570561705,0.004022137145224632,0.0016830012895022854,3.2447939290494515e-05,3.5526487781806194e-06,2.268062400471439e-06,9.068349559500613e-05,0.02525172503834049,0.004200074514356514,0.0061664875850966075,0.005883304121400754,0.006132511214981489,0.0022503722347387164,0.006330470905677111,0.0008570281773383113,0.0010512922979027653,0.0011601528565547434,0.0014368456217003257,6.806091593556206e-06,0.0058698337128761,0.007710892368494925,0.002914284848019805,0.00013866850962212498,0.000134749203222011,0.00015888031385646772,0.00013782073403848294,0.027182324319589182,0.00563378299053873,0.006507095784864774,0.004564048660929701,0.004883932835681463,0.0030995030730866287,0.012721365308122777,0.005633782990538766,0.0008664424012334777,0.0009368367757916179,0.0006173899931274396,9.059250137426494e-06,0.009256666699498088
ARGSurfFrac,0.013084750238187256,0.10402435508034664,0.016003750716240706,0.019825630653676277,0.022625321981493317,0.014685236214059646,0.04149572983878226,1.0,0.028909389105395488,0.006722314590641724,0.005543939962995164,0.0003547218539804737,0.00017865703735321073,0.017618075720437994,0.0012956368203339758,0.01081977901149944,0.00028744110792705357,0.16810496086348534,0.004919064712428996,0.012572858759723502,0.0005261045672171344,0.0017907691575657855,0.026108936858442993,0.0005907265134686611,0.004698017964719406,0.015009076129699225,0.01450455107745412,3.3971183937404245e-05,0.02167902880249478,0.06866401331449806,0.027218771266924454,0.06397898365298307,0.06334208701341514,0.06201091402959427,0.0018899327017745213,0.014561786101469423,0.058582235600844614,0.08588242645072883,0.09185828881299761,0.08921741742197159,0.0659928992880418,0.06018796919693287,0.0008352986225061414,0.034794765649916945,0.033815752854250695,0.033738842691911346,9.281202764137342e-05,0.011806065177375077,0.00012689089870639633,0.0023818862478270928,0.012279573197750006,0.012606608506984246,0.0064517813279107656,0.020801248637483765,0.04833515691107561,0.0002474758899034275,0.010409012837338536,0.012419991885018088,0.012678865047344862,0.00022379088893174825,0.002343816292967529,0.018981514856190207,0.003527692048571769,0.004818451351239109,0.005329112751681399,0.01690623406752774,0.040260480997917805,0.07315857380835389,0.028356969793206354,0.0680800987839523,0.067573992702333,0.0661185144474801,0.0028005613984934496,0.015929781771558314,0.062227697967725565,0.09210397301462893,0.09325520018702646,0.0949629489818346,0.06881436937217203,0.06515231705530146,0.00044342194153146997,0.035968684767597556,0.035643057679039955,0.03485600681571923,0.00021602386529176093,0.013466489878847153,0.08553794946229339,0.020897979332058825,0.04438209315252151,0.04320209945780255,0.043512703755087166,0.04446502444708011,0.005886199730644475,0.0525362637024182,0.06995493450929911,0.06418763988260913,0.06387120512377928,0.06886237892674459,0.07477801543000084,0.05253626370241825,0.0247120708513585,0.02215487966646909,0.023105617182071516,0.029102674015244467,0.00856245003028615
ASNSurfFrac,5.082393817592924e-05,9.452990502903941e-05,0.004680748785518924,0.0010097567185755663,0.0010243739735251252,0.001275005408769326,0.005436062947484697,0.028909389105395488,1.0,0.0012693770977914803,0.0006309604498084909,0.0008273911716730371,0.016516217635007414,0.0008678001159273182,0.00042652260215905605,3.6785890386954535e-06,0.011099376097143614,0.0020788362323872185,0.009202525628305338,0.001844536693091374,0.0030551591846793525,0.00022868434172538347,0.0068889345008849604,0.00010796679474513834,0.0026920248608446303,0.00627903164007857,0.001348119372977764,0.001067458583639557,0.009119255689115176,0.0005317414819435711,0.0009260355006234218,0.00043889226670940323,0.0005189970054364084,0.0005865914244450654,0.0018009776100991247,0.010415348737747505,0.0009379670319878693,0.0010752737475189654,0.0015800827668189027,0.0010544784868529355,0.001721456800562645,0.0011555803204773662,0.0006303122573065511,0.0015996006660080255,0.001599128713451127,0.0016051306798077571,0.0024595170300069405,0.003942839632216934,4.334849279070314e-05,0.001450696886606927,0.02354150985338518,0.02471674543031793,0.028448274705606093,3.440476807395563e-05,0.0018573600447679343,0.008320324693530227,0.0029009287321339985,0.004228600876164892,0.004481628012903382,0.008728163178037261,8.972947855360986e-06,0.0005565533196423364,0.025361889878020707,0.027435652984853374,0.026182819319139464,6.807244563591662e-05,0.01380906482805715,0.0005290514722244564,0.0011155260043590246,0.00044395812820862676,0.0005234532558913059,0.0005977130694395959,0.0018081125736087373,0.010732212113181388,0.0008799689765519331,0.001168282476087349,0.0013015899551288219,0.0011184680849275891,0.001761268614091933,0.001283831908046032,0.0006200642880238783,0.0017377939870024987,0.0017423913231217432,0.0017309410284440253,0.0025670850078827897,0.0038336096508598387,0.001887593995748248,0.002245557268234937,0.0009680496462561033,0.0011787931883177878,0.0012128262627441582,0.0009629163090156818,0.011171143356292377,6.717480727612652e-06,0.001609917481825226,0.0014967846439437923,0.0009927386711773977,3.5454829856142635e-05,0.0016084669027412847,6.717480727612804e-06,0.0024524914218934093,0.002622821873766391,0.0031901247172067817,0.0014961726403763555,0.0052996272058456455
ASPSurfFrac,0.0047292878284388735,0.15634466338137706,6.069647247594918e-05,0.13376529427913664,0.13683972168997474,0.00019685225466424964,0.013242744304051325,0.006722314590641724,0.0012693770977914803,1.0,0.00010595367416609958,0.01880230577370941,0.00028425386252806724,0.00019497755255905834,0.0011158928962156543,0.020984473176503895,0.0449705727748813,0.0012603759818842917,0.014836261418238164,0.010470761319152888,0.0004002393668865663,0.013611540750798089,0.009323958080873499,0.0006488873431460889,0.002122084537545336,0.023830099403247883,0.00026217352684599054,0.02724746147443206,0.006467562523489854,0.17523855530786034,0.12893533048427885,0.2050079027039763,0.20453997830869236,0.20317997658262166,0.04934195269807516,0.0028630430218068346,0.11166171063721235,0.1282651501218421,0.11660627242055423,0.1136197002585927,0.08471692767155811,0.13924921560275558,0.011900422159741275,0.17470800582198723,0.17239254996212233,0.1734140371511708,0.03598512785534558,0.10794226606655641,0.0056183330649151484,0.0004736879715954589,0.12095893763565614,0.13348408561491115,0.13692488490748378,0.0058244801071808405,0.025017887900020786,0.027420934195135627,0.024060326499066434,0.02980831841077182,0.03199723965374374,0.035296178735518484,0.0008191240897688991,0.00026586336361737056,0.09861302392346719,0.10824245343457434,0.1099105122437538,0.0018108198647448037,0.019555313121263636,0.17357672970173435,0.1305500168597293,0.2059611584490456,0.2054668478734057,0.20413052795583325,0.05167648471168458,0.002580389501476544,0.11131180744699945,0.12773201867530823,0.11808808369151086,0.11350918398292345,0.08399391719452697,0.13722114847419992,0.013426187996428975,0.17420000242084493,0.17338626495359502,0.17296211355580118,0.03679396019619349,0.11070543402495862,0.1365370904330544,0.16212836341822628,0.19967466800917433,0.19961336802384125,0.19689816874735513,0.19969517217085161,0.015486132591617635,0.1372664623798896,0.09306469747137319,0.09218829774217976,0.08753669253665805,0.10370658055373999,0.10151437652149503,0.13726646237988951,0.18393796052778105,0.17745187994852155,0.17469114808055336,0.18734438863671338,0.12708598473081076
